Current,Forcast,Real
[73.66999816894531],[73.12472],[73.7699966430664]
[73.7699966430664],[72.59775],[74.62999725341797]
[74.62999725341797],[72.39868],[75.12000274658203]
[75.12000274658203],[72.13004],[77.41000366210938]
[77.41000366210938],[71.83208],[78.38999938964844]
[78.38999938964844],[71.641846],[79.86000061035156]
[79.86000061035156],[71.449455],[80.18000030517578]
[80.18000030517578],[71.13108],[79.4800033569336]
[79.4800033569336],[70.86285],[80.33000183105469]
[80.33000183105469],[70.33427],[81.30999755859375]
[81.30999755859375],[69.59782],[81.62000274658203]
[81.62000274658203],[69.07061],[80.12999725341797]
[80.12999725341797],[68.35596],[80.1500015258789]
[80.1500015258789],[67.43441],[81.01000213623047]
[81.01000213623047],[66.58244],[79.68000030517578]
[79.68000030517578],[65.66738],[77.9000015258789]
[77.9000015258789],[64.73091],[78.87000274658203]
[78.87000274658203],[63.600395],[76.41000366210938]
[76.41000366210938],[62.360943],[75.68000030517578]
[76.41000366210938],[61.248806],[75.68000030517578]
